ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
2134,MACON COUNTY SCHOOL DISTRICT,2016,23758,4356,14019,5383,26578,10991,10974,2191,1032
10011,MADISON CITY SCHOOL DISTRICT,2016,105927,5007,56050,44870,101154,55316,33444,5715,2393
19452,MADISON COUNTY SCHOOL DISTRICT,2016,187046,12291,111079,63676,185652,97465,56852,15315,7462
1090,MARENGO COUNTY SCHOOL DISTRICT,2016,11585,1540,7058,2987,11678,5775,4702,939,83
3405,MARION COUNTY SCHOOL DISTRICT,2016,31887,3573,20888,7426,31060,18013,9605,2765,582
5635,MARSHALL COUNTY SCHOOL DISTRICT,2016,56422,7747,35295,13380,64739,27425,20913,5789,10116
1134,MIDFIELD CITY SCHOOL DISTRICT,2016,11987,2401,6921,2665,12501,5417,4882,1439,726
57581,MOBILE COUNTY SCHOOL DISTRICT,2016,564939,78217,310545,176177,606882,276941,203328,45405,65087
3600,MONROE COUNTY SCHOOL DISTRICT,2016,33410,5253,20650,7507,33507,18834,11269,2607,694
30667,MONTGOMERY COUNTY SCHOOL DISTRICT,2016,301121,42712,169038,89371,296474,154168,94679,24279,20895
7757,MORGAN COUNTY SCHOOL DISTRICT,2016,78919,6537,41600,30782,81220,40529,26593,6816,5346
4371,MOUNTAIN BROOK SCHOOLS,2016,61403,793,20122,40488,59779,36546,18241,3708,736
2907,MUSCLE SHOALS CITY SCHOOL DISTRICT,2016,29431,1589,15851,11991,28870,16117,9453,2559,227
1477,ONEONTA CITY SCHOOL DISTRICT,2016,13464,992,8541,3931,12726,6999,3758,1541,214
4240,OPELIKA CITY SCHOOLS,2016,47847,4849,22979,20019,47136,26558,14349,3906,1855
1357,OPP CITY SCHOOL DISTRICT,2016,13595,1586,8108,3901,13643,6550,4407,1261,384
4171,OXFORD CITY SCHOOL DISTRICT,2016,43617,3494,23131,16992,41504,23367,13221,2624,900
2131,OZARK CITY SCHOOL DISTRICT,2016,23012,2548,14093,6371,23479,11081,7703,1592,2878
4023,PELL CITY SCHOOL DISTRICT,2016,37455,3535,23100,10820,36396,20246,11407,2881,1119
1525,PERRY COUNTY SCHOOL DISTRICT,2016,16271,3616,10175,2480,15450,8277,4975,1959,36
7043,PHENIX CITY SCHOOL DISTRICT,2016,66280,7735,40838,17707,68862,34974,20942,5284,5578
2633,PICKENS COUNTY SCHOOL DISTRICT,2016,26826,3541,17386,5899,27921,13906,9343,2389,2152
1247,PIEDMONT CITY SCHOOL DISTRICT,2016,11695,1507,7287,2901,11355,6262,3701,1025,259
2189,PIKE COUNTY SCHOOL DISTRICT,2016,23840,3437,13858,6545,23530,11749,9201,2001,126
1125,PIKE ROAD SCHOOL DISTRICT,2016,9473,326,5276,3871,8943,5058,2898,639,130
2228,RANDOLPH COUNTY SCHOOL DISTRICT,2016,21531,2475,13280,5776,23702,11997,7546,1657,2300
1542,ROANOKE CITY SCHOOL DISTRICT,2016,13567,1714,8577,3276,13381,7876,3930,1297,132
3598,RUSSELL COUNTY SCHOOL DISTRICT,2016,33852,4285,21466,8101,32367,16919,11069,3391,346
2743,RUSSELLVILLE CITY SCHOOLS,2016,26359,3258,16084,7017,27093,14315,7396,2890,1572
2953,SARALAND CITY SCHOOLS,2016,28801,2047,15459,11295,37818,12692,9673,1855,10172
1308,SATSUMA CITY SCHOOL DISTRICT,2016,13229,1148,7742,4339,18106,6429,5737,677,5057
2536,SCOTTSBORO CITY SCHOOL DISTRICT,2016,27634,2085,15142,10407,26990,13375,8977,2385,617
3798,SELMA CITY SCHOOL DISTRICT,2016,35241,6753,21192,7296,39712,18965,11820,3624,4772
1059,SHEFFIELD CITY SCHOOL DISTRICT,2016,13779,2114,7041,4624,13310,7088,4453,1316,406
20064,SHELBY COUNTY SCHOOL DISTRICT,2016,207108,11491,107556,88061,204630,106520,68978,15178,5050
9056,ST CLAIR COUNTY SCHOOL DISTRICT,2016,80428,8311,51603,20514,80152,43171,24236,8609,2638
1593,SUMTER COUNTY SCHOOL DISTRICT,2016,19254,3747,11192,4315,19797,8985,7914,1961,131
2256,SYLACAUGA CITY SCHOOL DISTRICT,2016,22318,2431,13419,6468,30634,12827,7663,1676,8363
2051,TALLADEGA CITY SCHOOL DISTRICT,2016,21934,2863,13355,5716,22472,11575,7984,1879,1006
7777,TALLADEGA COUNTY SCHOOL DISTRICT,2016,77788,8297,43662,25829,76784,35942,29424,6521,3104
2894,TALLAPOOSA COUNTY SCHOOL DISTRICT,2016,29725,3597,14928,11200,26794,14360,8907,2648,316
1854,TALLASSEE CITY SCHOOL DISTRICT,2016,17726,1549,10823,5354,17696,10020,5301,1458,812
1174,TARRANT CITY SCHOOL DISTRICT,2016,12580,2255,6940,3385,12468,5875,4976,1495,59
1339,THOMASVILLE CITY SCHOOL DISTRICT,2016,13572,1334,8364,3874,15018,7378,4821,1075,1572
1981,TROY CITY SCHOOL DISTRICT,2016,20582,2097,10239,8246,19199,11194,5491,1475,41
4456,TRUSSVILLE CITY SCHOOL DISTRICT,2016,47842,971,23259,23612,65049,23174,16568,3301,20644
10418,TUSCALOOSA CITY SCHOOL DISTRICT,2016,126506,16560,51035,58911,125943,57345,45959,9692,11962
18352,TUSCALOOSA COUNTY SCHOOL DISTRICT,2016,180014,15123,102089,62802,172552,86904,54912,16059,13514
1527,TUSCUMBIA CITY SCHOOL DISTRICT,2016,15100,1307,8686,5107,16985,7551,5172,1345,2639
7015,VESTAVIA HILLS CITY SCHOOL DISTRICT,2016,78089,1738,33190,43161,88933,46690,25124,4910,11051
7827,WALKER COUNTY SCHOOL DISTRICT,2016,77323,10228,44847,22248,76823,41223,26370,5437,2313
2936,WASHINGTON COUNTY SCHOOL DISTRICT,2016,28275,3865,16255,8155,28507,15665,8544,3141,982
1795,WILCOX COUNTY SCHOOL DISTRICT,2016,19633,3718,11702,4213,19943,9266,7230,1862,733
1266,WINFIELD CITY SCHOOL DISTRICT,2016,12965,1269,7723,3973,13028,7128,3653,1451,652
2449,WINSTON COUNTY SCHOOL DISTRICT,2016,26086,2743,15593,7750,25019,12329,9720,2477,105
7568,AUTAUGA COUNTY SCHOOL DISTRICT,1995,31827,2821,21389,7617,27457,15228,7123,2575,2176
19961,BALDWIN COUNTY SCHOOL DISTRICT,1995,93379,6655,55108,31616,87973,48750,22961,6927,6795
2045,BARBOUR COUNTY SCHOOL DISTRICT,1995,9828,1676,7016,1136,9797,5635,2822,1144,35
2972,EUFAULA CITY SCHOOL DISTRICT,1995,14374,1299,9301,3774,15272,7834,3626,1428,2384
3539,BIBB COUNTY SCHOOL DISTRICT,1995,14917,1923,11169,1825,14398,8449,3762,1528,529
6239,BLOUNT COUNTY SCHOOL DISTRICT,1995,25869,2271,19403,4195,23534,14241,6361,2452,394
1182,ONEONTA CITY SCHOOL DISTRICT,1995,4668,190,3379,1099,4252,2483,1074,470,68
1972,BULLOCK COUNTY SCHOOL DISTRICT,1995,8712,1655,6127,930,8670,4692,2533,1157,288
4300,BUTLER COUNTY SCHOOL DISTRICT,1995,18120,2697,13234,2189,17715,10108,4726,2083,568
3584,ANNISTON CITY SCHOOL DISTRICT,1995,19203,2567,11932,4704,18756,10116,5831,2469,280
10330,CALHOUN COUNTY SCHOOL DISTRICT,1995,40768,3424,30415,6929,41358,21993,10919,4346,4062
1647,JACKSONVILLE CITY SCHOOL DISTRICT,1995,6173,581,4529,1063,5957,3771,1484,616,81
1220,PIEDMONT CITY SCHOOL DISTRICT,1995,4471,390,3336,745,4993,2730,1042,501,705
2838,OXFORD CITY SCHOOL DISTRICT,1995,11360,772,8250,2338,11078,6719,2664,1135,422
4145,CHAMBERS COUNTY SCHOOL DISTRICT,1995,19766,2062,13150,4554,19739,11608,5389,1945,713
1605,LANETT CITY SCHOOL DISTRICT,1995,6449,726,4587,1136,6450,4050,1669,613,118
3714,CHEROKEE COUNTY SCHOOL DISTRICT,1995,16620,1469,11861,3290,16285,9132,4287,1810,868
6228,CHILTON COUNTY SCHOOL DISTRICT,1995,26068,2258,19454,4356,25624,14812,7104,2515,1181
2929,CHOCTAW COUNTY SCHOOL DISTRICT,1995,13730,1812,9609,2309,13903,8167,3393,1553,790
4059,CLARKE COUNTY SCHOOL DISTRICT,1995,17495,2424,13010,2061,17031,9244,5029,2018,549
1618,THOMASVILLE CITY SCHOOL DISTRICT,1995,6398,621,4755,1022,6272,3768,1377,909,207
2616,CLAY COUNTY SCHOOL DISTRICT,1995,10648,1010,8227,1411,10548,6504,2749,1051,195
2446,CLEBURNE COUNTY SCHOOL DISTRICT,1995,10417,1045,7930,1442,9819,5651,2605,1180,300
1956,COFFEE COUNTY SCHOOL DISTRICT,1995,8944,1148,6112,1684,8893,5143,2511,748,370
1124,ELBA CITY SCHOOL DISTRICT,1995,5243,498,3821,924,5050,3077,1311,554,107
5344,ENTERPRISE CITY SCHOOL DISTRICT,1995,23303,2020,15414,5869,22026,12411,5958,2021,1636
3337,COLBERT COUNTY SCHOOL DISTRICT,1995,18199,1451,11451,5297,18569,9235,5496,1434,2206
1551,SHEFFIELD CITY SCHOOL DISTRICT,1995,8632,1045,4925,2662,8194,4883,2189,831,245
1491,TUSCUMBIA CITY SCHOOL DISTRICT,1995,7811,1103,4608,2100,7519,4333,2107,697,382
2267,MUSCLE SHOALS SCHOOL DISTRICT,1995,12306,747,6717,4842,11526,5968,3317,1688,553
2382,CONECUH COUNTY SCHOOL DISTRICT,1995,11172,1538,8058,1576,10647,6173,2764,1271,158
1855,COOSA COUNTY SCHOOL DISTRICT,1995,7752,1005,5796,951,7511,4352,2076,994,73
2091,ANDALUSIA CITY SCHOOL DISTRICT,1995,9289,893,6224,2172,8167,5457,1808,761,141
3208,COVINGTON COUNTY SCHOOL DISTRICT,1995,14188,1773,9927,2488,13596,7582,3824,1280,835
1605,OPP CITY SCHOOL DISTRICT,1995,6991,676,4982,1333,6799,4350,1580,562,279
2382,CRENSHAW COUNTY SCHOOL DISTRICT,1995,9977,1322,7501,1154,10006,5939,2556,1045,466
2718,CULLMAN CITY SCHOOL DISTRICT,1995,16560,1655,7403,7502,16240,7419,2509,1315,4997
9209,CULLMAN COUNTY SCHOOL DISTRICT,1995,37185,3550,26914,6721,37082,20820,9762,4227,2273
2762,DALE COUNTY SCHOOL DISTRICT,1995,13009,1099,9172,2738,13155,6878,4665,1257,158
3370,OZARK CITY SCHOOL DISTRICT,1995,14106,1760,10077,2269,16385,8781,3952,1470,2145
1767,DALEVILLE CITY SCHOOL DISTRICT,1995,6663,878,4754,1031,7154,3909,1559,647,972
5111,DALLAS COUNTY SCHOOL DISTRICT,1995,19696,3398,14943,1355,19440,11413,5417,2063,547
5040,SELMA CITY SCHOOL DISTRICT,1995,21797,3743,14676,3378,21115,12210,5747,2431,664
7247,DE KALB COUNTY SCHOOL DISTRICT,1995,30641,3024,22067,5550,30050,17492,7229,3562,1686
2642,FORT PAYNE CITY SCHOOL DISTRICT,1995,10895,880,7425,2590,11768,5954,2476,1225,2107
8647,ELMORE COUNTY SCHOOL DISTRICT,1995,33920,3077,24851,5992,34931,18676,8635,3082,4090
1705,TALLASSEE CITY SCHOOL DISTRICT,1995,6520,593,4609,1318,5777,3624,1333,722,98
1478,BREWTON CITY SCHOOL DISTRICT,1995,6823,467,4229,2127,7048,3786,1598,373,1249
4965,ESCAMBIA COUNTY SCHOOL DISTRICT,1995,23063,2819,15238,5006,22348,12346,6732,2005,1248
1997,ATTALLA CITY SCHOOL DISTRICT,1995,8368,839,6308,1221,8178,4782,2160,895,267
8668,ETOWAH COUNTY SCHOOL DISTRICT,1995,34180,2429,26700,5051,32762,20604,8620,3117,417
5883,GADSDEN CITY SCHOOL DISTRICT,1995,27200,3609,17626,5965,27540,16227,7399,3365,370
2879,FAYETTE COUNTY SCHOOL DISTRICT,1995,12062,1030,9197,1835,12109,7041,3380,1213,336
3234,FRANKLIN COUNTY SCHOOL DISTRICT,1995,14388,1650,10440,2298,13860,8259,4022,1292,196
